Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger
CSS,active,5,2017,BF16,0.273125911,14,2,0.238058793,0.026961211,0.015028701,0.000869716,0,0.681161941,0.037919638
CSS,active,5,2017,BF19,0.336129845,14,3,0.012331882,0.410343366,0.00832402,0.00470153,0,0.502562719,0.061736483
CSS,active,5,2017,BF23,0.413378088,11,3,0.48727341,0,0.006011083,0.257725181,0,0.051375974,0.197614351
GL,active,5,2017,BF25,0.394485717,12,2,0.021660305,0,0.002576336,0.324618321,0.095419847,0.493225191,0.0625
CSS,active,5,2017,BF29,0.207628857,10,2,0.005789167,0,0.022977157,0.000359018,0,0.814208141,0.156666517
GL,active,5,2017,BF56,0.183203155,10,0,0.015346839,0,0.105279312,0.002762431,0,0.876611418,0
CSS,active,5,2017,BF6,0.421538269,11,4,0.226530829,0,0,0.466093601,0,0.261148254,0.046227316
GL,active,5,2017,BF60,0.177111866,10,2,0.077738885,0,0,1.3061E-05,0,0.894297581,0.027950473
GL,passive,5,2017,BFP1,0.281844485,10,3,0.025486951,0,0,0.663195417,0,0.060980267,0.250337365
GL,passive,5,2017,BFP19,0.338222743,10,2,0.025210084,0,0.012605042,0.257703081,0,0.120915033,0.58356676
GL,active,5,2019,BF3,0.183549882,13,2,0.876801848,0.013586034,0.000366823,0,0,0.095659262,0.013586034
CSS,active,5,2019,BF31,0.439153581,11,1,0.381690661,0,0.203026947,0,0,0.369139904,0.046142488
GL,active,5,2019,BF32,0.188725631,13,0,0.030238986,0.865550317,0.007803609,0.015363356,0,0.081043733,0
CSS,active,5,2019,BF33,0.321678696,14,3,0.561101316,0,0.020412315,0.001831005,0,0.353316154,0.063339211
GL,active,5,2019,BF34,0.240575632,10,0,0.733088433,0,0.031538393,0,0,0.235373174,0
CSS,active,5,2019,BF45,0.431929585,16,3,0.5144639,0.047973135,0.030558887,0.198177021,0.005996642,0.139841689,0.062988726
GL,active,5,2019,BF47,0.313826812,14,2,0.536140848,0,0.026851278,0.000353888,0,0.407679377,0.028974609
GL,active,5,2019,BF48,0.213487105,13,1,0.105801718,0,0.071532001,0.002702964,0,0.807896515,0.012066802
GL,active,5,2019,BF53,0.254511783,12,1,0.316987054,0,0.000113897,0.000101241,0,0.67882408,0.003973728
GL,active,5,2019,BF57,0.435714164,13,0,0.185655803,0.038758041,0.03636557,0,0,0.462757191,0.276463395
CSS,passive,5,2019,BFP13,0.241454593,10,0,0.054587991,0,0.098518326,0.002079543,0.089160385,0.755653756,0
GL,passive,5,2019,BFP14,0.258782311,12,1,0.113915177,0.121135647,0.000560813,0,0,0.72295829,0.041430074
GL,passive,5,2019,BFP16,0.246781634,9,0,0.231312857,0,0.04267464,0.002446317,0,0.723566186,0
CSS,active,5,2019,owm1,0.3711076,13,2,0.533226051,0,0.0102234,0.00591632,0.287201817,0.129875047,0.033557365
CSS,active,5,2019,owm2,0.3723588,15,3,0.556493294,0,0.224206739,0.00235525,0,0.099443899,0.117500818
CSS,active,5,2019,owu2,0.3721243,14,3,0.557564225,0,0.005946717,0.243196955,0.034681256,0.073977165,0.084633682
CSS,active,5,2019,owu3,0.3589756,11,2,0.086350796,0,0.176168464,0.001027221,0,0.578325629,0.158127889
CSS,active,5,2019,owbuf1,0.5631145,13,2,0.24031594,0.061255357,0.061255357,0.184606336,0,0.387446433,0.065120578
CSS,active,5,2019,owbuf2,0.1826949,12,1,0.033588611,0,0.00813499,0.043598462,0,0.881915536,0.032762401
CSS,active,5,2019,owbuf3,0.1896539,13,2,0.028961585,0,0.065163565,0.023934574,0,0.864458283,0.017481993
CSS,active,3,2015,BF16,0.247385205,13,2,0.195824959,0.001233327,0.037593642,0.0000,0,0.732550703,0.032797369
CSS,active,3,2015,BF19,0.467679694,17,1,0.068614431,0,0.497417736,0.0632,0.075549653,0.143131179,0.152132212
CSS,active,3,2015,BF23,0.308774015,11,0,0.011928429,0,0.079522863,0.0000,0.306858847,0.601689861,0
GL,active,3,2015,BF25,0.270743618,15,4,0.023686921,0,0.032882154,0.0032,0,0.265264087,0.675003678
CSS,active,3,2015,BF29,0.326587526,11,4,0.218831795,0,0.006199201,0.0006,0,0.598911696,0.175506268
GL,active,3,2015,BF56,0.318786013,13,1,0.028374233,0,0.045501022,0.0386,0,0.601738241,0.285787321
CSS,active,3,2015,BF6,0.350878428,14,1,0.022783968,0.008980542,0.053883253,0.3338,0,0.538957259,0.041576584
GL,active,3,2015,BF60,0.36615516,12,4,0.441607511,0,0.051102969,0.0017,0,0.432676895,0.072895199
GL,passive,3,2015,BFP1,0.161836876,6,0,0.054041676,0.937943668,0,0.0000,0,0.008014655,0
GL,passive,3,2015,BFP19,0.308841309,14,4,0.271142673,0,0.000484183,0.0005,0,0.61308371,0.114751453
GL,active,3,2017,BF3,0.495733653,14,4,0.313289222,0.031009739,0.017030893,0.0012,0.040259075,0.232235217,0.364987652
CSS,active,3,2017,BF31,0.418847574,13,3,0.108201178,0,0.045672859,0.1502,0,0.524830086,0.17104667
GL,active,3,2017,BF32,0.273762915,11,1,0.634186775,0,0.001243323,0.0004,0,0.018834039,0.345367471
CSS,active,3,2017,BF33,0.174609564,11,2,0.002923488,0,0.018042098,0.012529235,0,0.901937855,0.064567324
GL,active,3,2017,BF34,0.1458532,7,0,0.01037851,0,0,0.0000,0,0.98962149,0
CSS,active,3,2017,BF45,0.363383143,13,5,0.215935437,0,0.003964391,0.1174,0,0.569173318,0.093552555
GL,active,3,2017,BF47,0.186754491,13,0,0.864644796,0,0.001593108,0.0021,0,0.131637951,0
GL,active,3,2017,BF48,0.145328347,7,2,0.000818511,0.99143082,0,0.0000,0,0,0.007744373
GL,active,3,2017,BF53,0.270913784,15,4,0.022937767,0.669966637,5.29053E-05,0.0164,0,0.278417602,0.012264117
GL,active,3,2017,BF57,0.317383458,7,6,0.111114222,0,0,0.0000,0,0.298320269,0.59056551
CSS,passive,3,2017,BFP13,0.29297869,10,1,0.00929422,0,0,0.0051,0,0.522509439,0.463113564
GL,passive,3,2017,BFP14,0.165937502,9,3,0.014455869,0,0,0.0273,0,0.926804439,0.031456785
GL,passive,3,2017,BFP16,0.364791003,9,1,0.130681818,0,0.090909091,0.0227,0,0.578125,0.177556818
CSS,active,3,2017,owm1,0.37614134,12,7,0.076650554,0.527696881,0,0.000720569,0,0.104002162,0.290929835
CSS,active,3,2017,owm2,0.429532849,12,4,0.496497009,0.02764004,0.001135673,0.223551617,0,0.082040372,0.169135289
CSS,active,3,2017,owu2,0.425665003,14,5,0.050879137,0,0.026481632,0.366673834,0.022015647,0.101394379,0.43255537
CSS,active,3,2017,owu3,0.312300362,15,2,0.165046818,0,0.001896409,0.001600095,0,0.621310892,0.210145786
CSS,active,3,2017,owbuf1,0.289533409,12,4,0.009188801,0,0.00028715,0.022361809,0,0.593969849,0.374192391
CSS,active,3,2017,owbuf2,0.270068464,13,6,0.004203313,0,0.062590513,0.002260605,0,0.679594504,0.251351065
CSS,active,3,2017,owbuf3,0.248196044,14,6,0.013939854,0,0.003566963,0.010823886,0.056251409,0.734384289,0.181033599
CSS,active,3,2019,DC3-ES2-1,0.183637618,15,2,0.065889213,0.878664193,0,4.71184E-05,0,0.026492329,0.028907147
CSS,active,3,2019,DC3-ES3-1,0.231391443,17,1,0.220173473,0,0.008673675,0.004652766,0,0.754092711,0.012407375
CSS,active,3,2019,DC3-ES3-2,0.148394388,11,2,0.004225117,0.981070325,3.06584E-05,0,0,0.012865051,0.001808848
GL,active,3,2019,DC3-NG1-1,0.146861539,11,0,0.004590502,0.986219378,3.64687E-05,0,0,0.009153652,0
GL,active,3,2019,DC3-NG1-2,0.235177128,12,2,0.022345012,0.204930475,0.008136499,0,0,0.751472463,0.01311555
GL,active,3,2019,DC3-NG3-1,0.381789168,12,4,0.046630139,0.529675466,0.035058815,0,0,0.108586536,0.280049044
GL,active,3,2019,DC3-NG4-1,0.161880248,15,2,0.938212114,0,0.013232755,0.000465361,0,0.002679577,0.045410193
GL,active,1,2015,BF3,0.271587831,17,4.5,0.661871007,0.295028847,0.001446905,0.0274,0,0.002814778,0.011429336
CSS,active,1,2015,BF31,0.234758906,14,3,0.002656042,0.145883134,0.078618858,0.0018,0,0.008831341,0.762217795
GL,active,1,2015,BF32,0.158400416,11,1,0.004259843,0.949162838,0.018580812,0.0000,0,0.024199856,0.003796651
CSS,active,1,2015,BF33,0.453342564,12,4,0.370996979,0,0.054380665,0.0077,0,0.366364552,0.20060423
GL,active,1,2015,BF34,0.235199183,11,3,0.746552598,0,0.000450273,0.0074,0,0.222378567,0.023245342
CSS,active,1,2015,BF45,0.453135515,18,3,0.166000999,0.503467022,0.145920009,0.0936,0,0.041493316,0.04950907
GL,active,1,2015,BF47,0.307668038,13,1,0.518864112,0,0.002351126,0.0006,0.018809008,0.440909592,0.018478381
GL,active,1,2015,BF48,0.531374762,14,2,0.255251935,0.048017691,0.030445427,0.0406,0,0.35187964,0.273850892
GL,active,1,2015,BF53,0.171764911,14,3,0.002476177,0.909827227,0.000191704,0.0354,0,0.000575112,0.051560391
GL,active,1,2015,BF57,0.313758751,14,4,0.579789662,0.012925216,0.000262194,0.0497,0,0.340949921,0.016362877
CSS,passive,1,2015,BFP13,0.271173466,8,0,0.348756103,0,0,0.0149,0,0.636363636,0
GL,passive,1,2015,BFP14,0.329623744,15,3,0.175807864,0,0.088798386,0.0021,0.050660374,0.623301488,0.059376546
GL,passive,1,2015,BFP16,0.214393118,13,2,0.158345106,0,0.016750757,0.0017,0,0.800282543,0.022885974
CSS,active,1,2013,BF16,0.195724451,13,2,0.019396176,0.849018003,0,0.081719887,0,0.044424905,0.005441028
CSS,active,1,2013,BF19,0.177934858,12,3,0.02048724,4.45375E-05,0.046140828,0.00017815,0,0.893733577,0.039415668
CSS,active,1,2013,BF23,0.205531482,14,1,0.004381648,0.81591514,0.002028224,0.005729519,0,0.171136747,0.000808722
GL,active,1,2013,BF25,0.258683959,12,3,0.003068956,0,0.129759279,0.020523641,0.02071545,0.723985806,0.101946869
CSS,active,1,2013,BF29,0.298284498,14,5,0.017631238,0,0.013115516,0.000531261,0,0.552312647,0.416409337
GL,active,1,2013,BF56,0.227155933,12,5,0.078123244,0.785181143,0.001003226,0.04680653,0,0.052801811,0.036084046
CSS,active,1,2013,BF6,0.298887954,9,2,0.035766781,0.627241548,0.000195982,0.000881921,0,0.28378246,0.052131308
GL,active,1,2013,BF60,0.21135707,13,6,0.154351488,0.003593487,0.007636159,0.007018529,0,0.020213363,0.807186974
GL,passive,1,2013,BFP1,0.354415297,9,3,0.239439655,0.176551724,0.000344828,0,0,0.023275862,0.560387931
GL,passive,1,2013,BFP19,0.244822817,13,3,0.023534179,0.726757497,4.39344E-05,0,0.000131803,0.233506305,0.016026283
CSS,active,1,2015,owm1,0.180851,14,5,0.88638195,0.003223207,0.00886382,0.012087027,0,0.042707494,0.046736503
CSS,active,1,2015,owm2,0.197192947,16,4,0.846841811,0.017328116,0.020681945,0.01509223,0,0.024035774,0.076020123
CSS,active,1,2015,owu2,0.206589711,14,6,0.819206009,0,0.014484979,0.002145923,0,0.024141631,0.140021459
CSS,active,1,2015,owu3,0.464011036,16,6,0.433179724,0.013824885,0.205069124,0.013824885,0,0.062211982,0.271889401
CSS,active,1,2015,owbuf1,0.165279754,12,5,0.928844151,0,0.003818119,0.017007983,0,0.022561611,0.027768136
CSS,active,1,2015,owbuf2,0.282154331,11,5,0.682326622,0,0.020134228,0.015659955,0,0.154362416,0.127516779
CSS,active,1,2015,owbuf3,0.471849601,15,4,0.48189415,0.026462396,0.176880223,0.044568245,0,0.140668524,0.129526462
CSS,active,1,2017,DC3-ES2-1,0.432297781,11,2,0.00216464,0,0.001718979,0.314636786,0.174699179,0.44381486,0.062965557
CSS,active,1,2017,DC3-ES3-1,0.238161451,12,4,0.015724221,0,0.106970064,0.015119444,0,0.759903236,0.102283036
CSS,active,1,2017,DC3-ES3-2,0.193889107,10,2,0.04443128,0,0.085308057,0.017476303,0,0.85278436,0
GL,active,1,2017,DC3-NG1-1,0.575240625,9,2,0.009542369,0.26879914,0.135877965,0,0.3438613,0.05013104,0.191788186
GL,active,1,2017,DC3-NG1-2,0.305228682,14,3,0.636528228,0,0.013476495,0.008737681,0.077348153,0.236358198,0.027551245
GL,active,1,2017,DC3-NG3-1,0.201117477,8,3,0.001719163,0,0.015718057,0,0.82888193,0.001964757,0.151716093
GL,active,1,2017,DC3-NG4-1,0.287877116,10,2,0.449382716,0,0.001519468,0,0,0.006647673,0.542450142
CSS,active,1,2019,DC3-CSS2-1,0.262024895,12,3,0.69681592,0,0.060199005,0,0,0.006368159,0.236616915
CSS,active,1,2019,DC2-CSS3-2,0.565707117,13,0,0.229215752,0.122685964,0.128912824,0,0,0.389094581,0.130090878
CSS,active,1,2019,DC2-CSS3-3,0.267075482,10,0,0.677692842,0,0.0257123,0.023835997,0,0.27275886,0
GL,active,1,2019,DC3-NG5-1,0.265294492,12,2,0.070373312,0.007116759,0.00025417,0,0.697442415,0.008038125,0.216775218
GL,active,1,2019,DC3-NG7-1,0.146191064,8,0,0.011535689,0,0,0,0,0.988464311,0
GL,active,0,2013,BF3,0.355306,13.5,3.5,0.591435399,0.064143158,0.005190718,0.07586742,0.038254091,0.054896054,0.170213159
CSS,active,0,2013,BF31,0.228005546,6,0,0.248453608,0,0,0,0,0.751546392,0
GL,active,0,2013,BF32,0.484076733,14,4,0.448377581,0.031858407,0.125958702,0.018436578,0,0.131120944,0.244247788
CSS,active,0,2013,BF33,0.160707353,11,4,0.013731799,0.942217732,0.00052709,0,0,0.018846221,0.024677157
GL,active,0,2013,BF34,0.166128011,11,3,0.000616036,0.924771316,0.000252879,1.90135E-06,0,0.068444679,0.005913188
CSS,active,0,2013,BF45,0.277919042,7,4,0.100197371,0,0,0.072565405,0,0.693402763,0.13383446
GL,active,0,2013,BF47,0.239220127,10,2,0.000331618,0.723817536,0,0.000165809,0,0.270630934,0.005054103
GL,active,0,2013,BF48,0.187199409,11,3,0.040897603,0,0,0.052711189,0.025484414,0.870586658,0.010320135
GL,active,0,2013,BF53,0.318150585,12,3,0.095798641,0.57881137,0.000765624,9.57029E-05,0,0.000765624,0.32376304
GL,active,0,2013,BF57,0.283675,11.5,9,0.293734921,0.365693672,0.011475108,4.12869E-05,0,0.079602273,0.24945274
CSS,passive,0,2013,BFP13,0.225511105,12,2,0.008442489,0.771224544,0.005192166,0,0,0.195471819,0.019668982
GL,passive,0,2013,BFP14,0.251929704,13,3,0.006518443,0.704818304,0.006002684,4.97117E-05,0,0.26432939,0.018281467
GL,passive,0,2013,BFP16,0.151230171,12,2,0.005557782,0,0.007056118,0.000156803,0,0.971758106,0.015471192
CSS,active,0,2012,BF16,0.149996199,8,3,0.024392447,0,0,0,0,0.975607553,0
CSS,active,0,2012,BF19,0.183626119,13,4,0.063358193,0,0.031992751,0.025859065,0,0.878789991,0
CSS,active,0,2012,BF23,0.259126729,8,2,0.660159649,0,0,0,0,0.339840351,0
GL,active,0,2012,BF25,0.16222217,10,3,0.063750927,0,0,0,0,0.936249073,0
CSS,active,0,2012,BF29,0.216748392,11,3,0.186988703,0.022269835,0.001038826,0,0,0.789702636,0
GL,active,0,2012,BF56,0.272608781,11,4,0.642129105,0.01881697,0.005401167,0,0,0.333652757,0
CSS,active,0,2012,BF6,0.162118499,12,3,0.051814604,0.005465676,0.005465676,0,0,0.937254045,0
GL,active,0,2012,BF60,0.189537366,13,3,0.138612911,0,0.004367651,0,0,0.857019438,0
GL,passive,0,2012,BFP1,0.144002985,12,4,0.002915274,0,0,0.001076057,0,0.99600867,0
GL,passive,0,2012,BFP19,0.167231343,15,3,0.023251773,0.046260253,0.007715835,0,0,0.92277214,0
CSS,active,0,2014,DC3-ES2-1,0.450265271,11,1,0.042270671,0.400788589,0.128145657,0.000231938,0,0.366925664,0.061637481
CSS,active,0,2014,DC3-ES3-1,0.301436435,9,0,0.020226314,0.545045933,0.013523637,0.001379963,0.419824153,0,0
CSS,active,0,2014,DC3-ES3-2,0.324488608,8,0,0.413340623,0,0.034991799,0.034991799,0,0.516675779,0