Time,HICKS_CYN,,
and,11.5,,
Date,Rainfall (in.) ALERT transmitted,,
Date and time,Total,Quality,Comments
10/1/12 0:00,0,151,Sites:
10/2/12 0:00,0,1,HICKS_CYN - Hicks Canyon Lat:33.74587983 Long:-117.70403 Elev:1083ft
10/3/12 0:00,0,1, 
10/4/12 0:00,0,1,Variables:
10/5/12 0:00,0,1,11 - Rainfall (Inches)
10/6/12 0:00,0,1, 
10/7/12 0:00,0,255,Qualities:
10/8/12 0:00,0,255,1 - Good continuous records
10/9/12 0:00,0,255,151 - Data Missing
10/10/12 0:00,0,1,255 - No data exists
10/11/12 0:00,0.07,1, 
10/12/12 0:00,0.04,1, 
10/13/12 0:00,0,1, 
10/14/12 0:00,0,1, 
10/15/12 0:00,0,1, 
10/16/12 0:00,0,1, 
10/17/12 0:00,0,1, 
10/18/12 0:00,0,1, 
10/19/12 0:00,0,1, 
10/20/12 0:00,0,1, 
10/21/12 0:00,0,1, 
10/22/12 0:00,0.04,1, 
10/23/12 0:00,0,1, 
10/24/12 0:00,0,1, 
10/25/12 0:00,0,1, 
10/26/12 0:00,0,1, 
10/27/12 0:00,0,1, 
10/28/12 0:00,0,1, 
10/29/12 0:00,0,1, 
10/30/12 0:00,0,1, 
10/31/12 0:00,0,1, 
11/1/12 0:00,0,1, 
11/2/12 0:00,0,1, 
11/3/12 0:00,0,1, 
11/4/12 0:00,0,151, 
11/5/12 0:00,0,151, 
11/6/12 0:00,0,151, 
11/7/12 0:00,0,151, 
11/8/12 0:00,0.47,1, 
11/9/12 0:00,0,1, 
11/10/12 0:00,0,1, 
11/11/12 0:00,0,1, 
11/12/12 0:00,0,1, 
11/13/12 0:00,0,1, 
11/14/12 0:00,0,1, 
11/15/12 0:00,0,1, 
11/16/12 0:00,0,1, 
11/17/12 0:00,0.12,1, 
11/18/12 0:00,0.04,1, 
11/19/12 0:00,0,1, 
11/20/12 0:00,0.04,1, 
11/21/12 0:00,0,1, 
11/22/12 0:00,0,1, 
11/23/12 0:00,0,1, 
11/24/12 0:00,0,1, 
11/25/12 0:00,0,1, 
11/26/12 0:00,0,1, 
11/27/12 0:00,0,1, 
11/28/12 0:00,0,1, 
11/29/12 0:00,0.27,1, 
11/30/12 0:00,0.32,1, 
12/1/12 0:00,0.08,1, 
12/2/12 0:00,0.23,1, 
12/3/12 0:00,0.12,1, 
12/4/12 0:00,0,1, 
12/5/12 0:00,0,1, 
12/6/12 0:00,0,1, 
12/7/12 0:00,0,1, 
12/8/12 0:00,0.04,1, 
12/9/12 0:00,0,1, 
12/10/12 0:00,0,1, 
12/11/12 0:00,0,1, 
12/12/12 0:00,0,1, 
12/13/12 0:00,0.51,1, 
12/14/12 0:00,0.08,1, 
12/15/12 0:00,0.08,1, 
12/16/12 0:00,0,1, 
12/17/12 0:00,0.04,1, 
12/18/12 0:00,0.27,1, 
12/19/12 0:00,0,1, 
12/20/12 0:00,0,1, 
12/21/12 0:00,0,1, 
12/22/12 0:00,0,1, 
12/23/12 0:00,0,1, 
12/24/12 0:00,0.16,1, 
12/25/12 0:00,0.04,1, 
12/26/12 0:00,0.16,1, 
12/27/12 0:00,0.04,1, 
12/28/12 0:00,0,1, 
12/29/12 0:00,0.23,1, 
12/30/12 0:00,0.12,1, 
12/31/12 0:00,0,1, 
1/1/13 0:00,0,1, 
1/2/13 0:00,0,1, 
1/3/13 0:00,0,1, 
1/4/13 0:00,0,1, 
1/5/13 0:00,0,1, 
1/6/13 0:00,0.12,1, 
1/7/13 0:00,0,1, 
1/8/13 0:00,0,1, 
1/9/13 0:00,0,1, 
1/10/13 0:00,0.08,1, 
1/11/13 0:00,0,1, 
1/12/13 0:00,0,1, 
1/13/13 0:00,0,1, 
1/14/13 0:00,0,1, 
1/15/13 0:00,0,1, 
1/16/13 0:00,0,1, 
1/17/13 0:00,0,1, 
1/18/13 0:00,0,1, 
1/19/13 0:00,0,1, 
1/20/13 0:00,0,1, 
1/21/13 0:00,0,1, 
1/22/13 0:00,0,1, 
1/23/13 0:00,0,1, 
1/24/13 0:00,0.43,1, 
1/25/13 0:00,0.32,1, 
1/26/13 0:00,0.27,1, 
1/27/13 0:00,0.04,1, 
1/28/13 0:00,0.04,151, 
1/29/13 0:00,0,151, 
1/30/13 0:00,0,151, 
1/31/13 0:00,0,151, 
2/1/13 0:00,0,151, 
2/2/13 0:00,0,151, 
2/3/13 0:00,0,151, 
2/4/13 0:00,0,151, 
2/5/13 0:00,0,151, 
2/6/13 0:00,0,151, 
2/7/13 0:00,0,151, 
2/8/13 0:00,0,151, 
2/9/13 0:00,0,151, 
2/10/13 0:00,0,151, 
2/11/13 0:00,0,1, 
2/12/13 0:00,0,1, 
2/13/13 0:00,0,255, 
2/14/13 0:00,0,255, 
2/15/13 0:00,0,255, 
2/16/13 0:00,0,1, 
2/17/13 0:00,0,1, 
2/18/13 0:00,0,1, 
2/19/13 0:00,0.23,1, 
2/20/13 0:00,0,1, 
2/21/13 0:00,0,1, 
2/22/13 0:00,0,1, 
2/23/13 0:00,0,1, 
2/24/13 0:00,0,1, 
2/25/13 0:00,0,1, 
2/26/13 0:00,0,1, 
2/27/13 0:00,0,1, 
2/28/13 0:00,0,1, 
3/1/13 0:00,0,1, 
3/2/13 0:00,0,1, 
3/3/13 0:00,0,1, 
3/4/13 0:00,0,1, 
3/5/13 0:00,0.04,1, 
3/6/13 0:00,0,1, 
3/7/13 0:00,0.04,1, 
3/8/13 0:00,0.75,1, 
3/9/13 0:00,0,1, 
3/10/13 0:00,0,1, 
3/11/13 0:00,0,1, 
3/12/13 0:00,0,1, 
3/13/13 0:00,0,1, 
3/14/13 0:00,0,1, 
3/15/13 0:00,0,1, 
3/16/13 0:00,0,1, 
3/17/13 0:00,0,1, 
3/18/13 0:00,0,1, 
3/19/13 0:00,0,1, 
3/20/13 0:00,0,1, 
3/21/13 0:00,0,1, 
3/22/13 0:00,0,1, 
3/23/13 0:00,0,1, 
3/24/13 0:00,0,151, 
3/25/13 0:00,0,151, 
3/26/13 0:00,0,151, 
3/27/13 0:00,0,151, 
3/28/13 0:00,0,151, 
3/29/13 0:00,0,1, 
3/30/13 0:00,0,1, 
3/31/13 0:00,0,1, 
4/1/13 0:00,0,1, 
4/2/13 0:00,0,1, 
4/3/13 0:00,0,1, 
4/4/13 0:00,0,151, 
4/5/13 0:00,0,151, 
4/6/13 0:00,0,1, 
4/7/13 0:00,0,1, 
4/8/13 0:00,0,1, 
4/9/13 0:00,0,1, 
4/10/13 0:00,0,1, 
4/11/13 0:00,0,1, 
4/12/13 0:00,0,1, 
4/13/13 0:00,0,1, 
4/14/13 0:00,0,1, 
4/15/13 0:00,0,1, 
4/16/13 0:00,0,1, 
4/17/13 0:00,0,1, 
4/18/13 0:00,0,1, 
4/19/13 0:00,0,1, 
4/20/13 0:00,0,1, 
4/21/13 0:00,0,151, 
4/22/13 0:00,0,151, 
4/23/13 0:00,0,151, 
4/24/13 0:00,0,151, 
4/25/13 0:00,0,151, 
4/26/13 0:00,0,151, 
4/27/13 0:00,0,151, 
4/28/13 0:00,0,1, 
4/29/13 0:00,0,1, 
4/30/13 0:00,0,1, 
5/1/13 0:00,0,1, 
5/2/13 0:00,0,1, 
5/3/13 0:00,0,1, 
5/4/13 0:00,0,1, 
5/5/13 0:00,0,1, 
5/6/13 0:00,0.39,1, 
5/7/13 0:00,0.12,1, 
5/8/13 0:00,0,1, 
5/9/13 0:00,0,1, 
5/10/13 0:00,0,1, 
5/11/13 0:00,0,1, 
5/12/13 0:00,0,1, 
5/13/13 0:00,0,1, 
5/14/13 0:00,0,1, 
5/15/13 0:00,0,1, 
5/16/13 0:00,0,1, 
5/17/13 0:00,0,1, 
5/18/13 0:00,0,1, 
5/19/13 0:00,0,1, 
5/20/13 0:00,0,1, 
5/21/13 0:00,0,1, 
5/22/13 0:00,0,1, 
5/23/13 0:00,0,1, 
5/24/13 0:00,0,1, 
5/25/13 0:00,0,1, 
5/26/13 0:00,0,1, 
5/27/13 0:00,0,151, 
5/28/13 0:00,0,255, 
5/29/13 0:00,0,255, 
5/30/13 0:00,0,255, 
5/31/13 0:00,0,255, 
6/1/13 0:00,0,255, 
6/2/13 0:00,0,151, 
6/3/13 0:00,0,151, 
6/4/13 0:00,0,151, 
6/5/13 0:00,0,1, 
6/6/13 0:00,0,1, 
6/7/13 0:00,0,1, 
6/8/13 0:00,0,1, 
6/9/13 0:00,0,1, 
6/10/13 0:00,0,1, 
6/11/13 0:00,0,1, 
6/12/13 0:00,0,1, 
6/13/13 0:00,0,1, 
6/14/13 0:00,0,1, 
6/15/13 0:00,0,1, 
6/16/13 0:00,0,1, 
6/17/13 0:00,0,1, 
6/18/13 0:00,0,1, 
6/19/13 0:00,0,1, 
6/20/13 0:00,0,151, 
6/21/13 0:00,0,151, 
6/22/13 0:00,0,1, 
6/23/13 0:00,0,1, 
6/24/13 0:00,0,1, 
6/25/13 0:00,0,1, 
6/26/13 0:00,0,1, 
6/27/13 0:00,0,1, 
6/28/13 0:00,0,1, 
6/29/13 0:00,0,1, 
6/30/13 0:00,0,1, 