Time,IRVINELAKE,,
and,11.5,,
Date,Rainfall (in.) ALERT transmitted,,
Date and time,Total,Quality,Comments
10/1/16 0:00,0,151,Sites:
11/1/16 0:00,1.06,1,IRVINELAKE - Irvine Lake Dam Lat:33.786548 Long:-117.727213 Elev:789ft
12/1/16 0:00,3.16,1, 
1/1/17 0:00,4.92,1,Variables:
2/1/17 0:00,2.21,1,11 - Rainfall (Inches)
3/1/17 0:00,0.08,1, 
4/1/17 0:00,0.04,1,Qualities:
5/1/17 0:00,0,1,1 - Good continuous records
6/1/17 0:00,0,1,151 - Data Missing
7/1/17 0:00,0.04,151,255 - No data exists
,,,
,11.51,,