Time,LOMARIDGE,,,,,
and,11.5,,,,,
Date,Rainfall (in.) ALERT transmitted,,,,,
Date and time,Total,Quality,Comments,,,
10/1/16 0:00,0,255,Sites:,,,
11/1/16 0:00,0,255,LOMARIDGE - Loma Ridge Lat:33.764979 Long:-117.746298 Elev:1304ft,,,
12/1/16 0:00,0,255, ,,,
1/1/17 0:00,0,255,Variables:,,,
2/1/17 0:00,0,255,11 - Rainfall (Inches),,,
3/1/17 0:00,0,255, ,,,
4/1/17 0:00,0,255,Qualities:,,,
5/1/17 0:00,0,255,1 - Good continuous records,,,
6/1/17 0:00,0,255,2 - Good quality edited data,,,
,,,255 - No data exists,,,
hicks,,, ,bee canyon,,
10/1/16 0:00,0.04,151, ,10/1/16 0:00,0.75,1
11/1/16 0:00,1.34,1, ,,,
12/1/16 0:00,4.44,1, ,,,
1/1/17 0:00,6.81,1, ,,,
2/1/17 0:00,4.08,1, ,,,
3/1/17 0:00,0.16,1, ,,,
4/1/17 0:00,0,1, ,,,
5/1/17 0:00,0.2,151, ,5/1/17 0:00,0.2,1
6/1/17 0:00,0.04,1, ,,,
,,, ,,,
,,, ,,,
,,, ,,,
10/1/16 0:00,0.75,1, ,,,
11/1/16 0:00,1.34,1, ,,,
12/1/16 0:00,4.44,1, ,,,
1/1/17 0:00,6.81,1, ,,,
2/1/17 0:00,4.08,1, ,,,
3/1/17 0:00,0.16,1, ,,,
4/1/17 0:00,0,1, ,,,
5/1/17 0:00,0.2,1, ,,,
6/1/17 0:00,0.04,1, ,,,
,,, ,,,
,,, ,,,
total,17.82,, ,,,
,17.82,,,,,